# ell TT EE TE
350 0.0015538 0 0
450 0.00110256 0 0
550 0.000865048 0 0
650 0.000696874 0 0
750 0.000584087 0 0
850 0.000505695 0 0
950 0.000447526 0 0
1050 0.00040035 0 0
1150 0.000364968 0 0
1250 0.000333695 0 0
1350 0.000310368 0 0
1450 0.000291429 0 0
1550 0.00027462 0 0
1650 0.000260098 0 0
1750 0.000249431 0 0
1850 0.000237629 0 0
1950 0.000228311 0 0
2050 0.00021983 0 0
2150 0.000212041 0 0
2250 0.000206009 0 0
2350 0.000199399 0 0
2450 0.000194185 0 0
2550 0.000190218 0 0
2650 0.0001858 0 0
2750 0.000181871 0 0
2850 0.000177496 0 0
2950 0.000174291 0 0
3050 0.000170978 0 0
3150 0.000168648 0 0
3250 0.000166576 0 0
3350 0.000163569 0 0
3450 0.000160769 0 0
